Nombre,x,y,Estatus
"Ursus americanus Pallas, 1780",-100.265504,25.579143,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.000065,26.194925,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.002241,26.193418,Presencia 
"Ursus americanus eremicus Merriam, 1904",-99.988043,26.202417,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.000092,26.194837,Presencia 
"Ursus americanus Pallas, 1780",-100.269868,25.549941,Presencia 
"Ursus americanus Pallas, 1780",-99.857895,25.952286,Presencia 
"Ursus americanus Pallas, 1780",-100.268983,25.684877,Presencia 
"Ursus americanus Pallas, 1780",-100.5333,25.548464,Presencia 
"Ursus americanus Pallas, 1780",-100.253312,25.383995,Presencia 
"Ursus americanus Pallas, 1780",-100.34801,25.600825,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.565962,26.549827,Presencia 
"Ursus americanus Pallas, 1780",-100.34343,25.596816,Presencia 
"Ursus americanus Pallas, 1780",-100.346557,25.598113,Presencia 
"Ursus americanus Pallas, 1780",-100.351367,25.599545,Presencia 
"Ursus americanus Pallas, 1780",-100.332306,25.595951,Presencia 
"Ursus americanus Pallas, 1780",-100.218961,25.389383,Presencia 
"Ursus americanus Pallas, 1780",-99.87207,23.790174,Presencia 
"Ursus americanus Pallas, 1780",-100.356338,25.60838,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.281852,25.611719,Presencia 
"Ursus americanus Pallas, 1780",-100.345142,25.601295,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.26976,25.54922,Presencia 
"Ursus americanus Pallas, 1780",-100.351448,25.609725,Presencia 
"Ursus americanus Pallas, 1780",-100.350372,25.607838,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.35673,25.613816,Presencia 
"Ursus americanus Pallas, 1780",-100.270376,25.549931,Presencia 
"Ursus americanus Pallas, 1780",-100.355669,25.607584,Presencia 
"Ursus americanus Pallas, 1780",-100.397636,25.557215,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.216678,25.38051,Presencia 
"Ursus americanus Pallas, 1780",-100.79831,26.663488,Presencia 
"Ursus americanus Pallas, 1780",-100.16142,25.209504,Presencia 
"Ursus americanus Pallas, 1780",-100.200977,25.369001,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.8585,26.183198,Presencia 
"Ursus americanus Pallas, 1780",-100.289426,25.613369,Presencia 
"Ursus americanus Pallas, 1780",-100.137448,26.397246,Presencia 
"Ursus americanus Pallas, 1780",-100.279554,25.610203,Presencia 
"Ursus americanus Pallas, 1780",-100.41657,25.801175,Presencia 
"Ursus americanus Pallas, 1780",-100.21936,25.536193,Presencia 
"Ursus americanus Pallas, 1780",-99.871289,26.089418,Presencia 
"Ursus americanus Pallas, 1780",-100.535838,26.472501,Presencia 
"Ursus americanus Pallas, 1780",-100.657473,25.628152,Presencia 
"Ursus americanus Pallas, 1780",-99.893069,26.107022,Presencia 
"Ursus americanus Pallas, 1780",-100.523395,25.551734,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.160909,25.416851,Presencia 
"Ursus americanus Pallas, 1780",-100.35762,25.618453,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.272945,25.573921,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.274706,25.572643,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.189272,25.391965,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.081361,25.456645,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.071143,25.43834,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.072812,25.495172,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.392659,25.526066,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.355961,25.614556,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.160683,25.398126,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.071819,25.33627,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.208529,25.379644,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.162763,25.264024,Presencia 
"Ursus americanus Pallas, 1780",-100.731274,24.74734,Presencia 
"Ursus americanus Pallas, 1780",-100.352899,25.606525,Presencia 
"Ursus americanus Pallas, 1780",-100.522282,25.543183,Presencia 
"Ursus americanus Pallas, 1780",-100.212928,25.338673,Presencia 
"Ursus americanus Pallas, 1780",-100.2193,25.535982,Presencia 
"Ursus americanus Pallas, 1780",-100.186879,25.339793,Presencia 
"Ursus americanus Pallas, 1780",-100.208793,25.378459,Presencia 
"Ursus americanus Pallas, 1780",-100.5863,25.557517,Presencia 
"Ursus americanus Pallas, 1780",-100.55845,25.555619,Presencia 
"Ursus americanus Pallas, 1780",-100.44348,25.65308,Presencia 
"Ursus americanus Pallas, 1780",-100.246645,25.621017,Presencia 
"Ursus americanus Pallas, 1780",-100.235572,25.449106,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.207808,25.381529,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.215944,25.389992,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.215661,25.389867,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.216373,25.390029,Presencia 
"Ursus americanus Pallas, 1780",-100.540264,25.551442,Presencia 
"Ursus americanus Pallas, 1780",-100.527144,25.538411,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.215773,25.390088,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.215987,25.390011,Presencia 
"Ursus americanus Pallas, 1780",-100.404167,25.333056,Presencia 
"Ursus americanus Pallas, 1780",-100.443107,25.653974,Presencia 
"Ursus americanus Pallas, 1780",-100.52801,25.543001,Presencia 
"Ursus americanus Pallas, 1780",-100.464914,25.228181,Presencia 
"Ursus americanus Pallas, 1780",-100.524789,25.546111,Presencia 
"Ursus americanus Pallas, 1780",-100.526047,25.545144,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.353399,25.614253,Presencia 
"Ursus americanus Pallas, 1780",-100.581382,25.564583,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.762675,26.618672,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.78941,26.667557,Presencia 
"Ursus americanus Pallas, 1780",-99.795833,23.904722,Presencia 
"Ursus americanus Pallas, 1780",-99.238889,25.705,Presencia 
"Ursus americanus Pallas, 1780",-99.77,24.01,Presencia 
"Ursus americanus Pallas, 1780",-100.076944,24.823889,Presencia 
"Ursus americanus Pallas, 1780",-100.133333,25.332,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.416119,25.649117,Presencia 
"Ursus americanus Pallas, 1780",-100.605895,25.554755,Presencia 
"Ursus americanus Pallas, 1780",-100.353796,25.607733,Presencia 
"Ursus americanus Pallas, 1780",-100.460324,25.227346,Presencia 
"Ursus americanus Pallas, 1780",-100.346924,25.600787,Presencia 
"Ursus americanus Pallas, 1780",-100.196647,25.396258,Presencia 
"Ursus americanus Pallas, 1780",-100.278832,25.611,Presencia 
"Ursus americanus Pallas, 1780",-99.994681,26.199617,Presencia 
"Ursus americanus Pallas, 1780",-100.516265,26.591568,Presencia 
"Ursus americanus Pallas, 1780",-100.208796,25.6072,Presencia 
"Ursus americanus Pallas, 1780",-100.458191,25.437639,Presencia 
"Ursus americanus Pallas, 1780",-100.271212,25.546427,Presencia 
"Ursus americanus Pallas, 1780",-100.203072,25.511751,Presencia 
"Ursus americanus Pallas, 1780",-100.513833,25.472059,Presencia 
"Ursus americanus Pallas, 1780",-100.238392,25.37686,Presencia 
"Ursus americanus Pallas, 1780",-100.331603,25.603133,Presencia 
"Ursus americanus Pallas, 1780",-100.448318,27.016006,Presencia 
"Ursus americanus Pallas, 1780",-100.354828,25.60745,Presencia 
"Ursus americanus Pallas, 1780",-100.681153,24.707253,Presencia 
"Ursus americanus Pallas, 1780",-100.354713,25.606372,Presencia 
"Ursus americanus Pallas, 1780",-100.162768,25.365704,Presencia 
"Ursus americanus Pallas, 1780",-100.360706,25.607864,Presencia 
"Ursus americanus Pallas, 1780",-100.259287,25.587458,Presencia 
"Ursus americanus Pallas, 1780",-100.244477,25.377966,Presencia 
"Ursus americanus Pallas, 1780",-100.47291,25.785686,Presencia 
"Ursus americanus Pallas, 1780",-99.788345,23.840178,Presencia 
"Ursus americanus Pallas, 1780",-99.788445,23.838253,Presencia 
"Ursus americanus eremicus Merriam, 1904",-99.923007,26.100441,Presencia 
"Ursus americanus eremicus Merriam, 1904",-100.47995,25.563561,Presencia 
"Ursus americanus Pallas, 1780",-100.279501,25.611152,Presencia 
"Ursus americanus Pallas, 1780",-100.162691,25.363041,Presencia 
